trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",30,0,-160.4366558563309,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.7744}",30,0,-57.37833873919504,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.681472}",20,0,-84.65766295905999,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",20,0,-125.82401116081274,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",25,0,-49.002820217027136,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",30,13,-80.77578910584451,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",20,7,-39.14302587038155,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",20,0,-26.305078465815807,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",25,0,-9.247877399747024,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",30,0,-18.22623000749428,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",25,0,-108.9290632472622,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.215671155821681}",25,0,-33.97439663143223,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",25,0,12.85106923629613,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",25,0,17.12956993120278,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",20,9,9.35238814441019,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",20,13,12.557531582983563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",20,1,27.605679215853087,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",20,7,16.001804382132544,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",20,2,31.038689192238007,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",20,0,25.71385496568507,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",25,3,38.538670966254614,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",25,20,8.903967482031321,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",25,14,20.980069767043922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",25,5,35.0011654808893,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.04093236175904464}",25,12,26.00889925062445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.03602047834795928}",20,0,27.641932683693568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.03169802094620417}",20,9,19.434783130341565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.02789425843265967}",25,13,24.83295285160198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.02454694742074051}",25,13,20.161432029093678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.02160131373025165}",30,8,40.075594607515065,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.019009156082621454}",20,2,27.150216748934152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.01672805735270688}",25,8,16.21488417716069,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.014720690470382053}",25,11,26.46684812985836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.012954207613936206}",25,12,5.573028684170442,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.011399702700263862}",20,8,23.532030345048014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.010031738376232198}",25,9,22.069489688597184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.008827929771084335}",30,14,28.86296315472938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,4,29.621222943538662,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,12.213385678318527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,12,43.68567044838596,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,14.235338693036518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,25.521051094385623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,25.73336699760958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,12.755621447374281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,31.976041334396683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,7.90010137537887,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,17.832334550916848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
