trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,7,-98.19231897360764,"{0: 5, 1: 1, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.61116125535676,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,8,-98.41368920987327,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,15,-30.439358685586146,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.38704317688827,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.22686197000195,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.41886676295304,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.96173686030525,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.02333431422898,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.8768593003521,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.61484307603529,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.4055804607651,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.001911626876364,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.76896098811454,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.94331964893249,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.390704053460905,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,14,5.562870354441355,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.296388973420264,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.77306479537643,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.68062700615101,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.34332082729105,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.92589112670062,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.1840217703639,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.1261376564739,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.77121368532516,"{0: 15, 1: 2, 2: 10, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.75281247160618,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.52790653040513,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-174.1627153442417,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.37610817761112,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.80024323107092,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
